,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,0.009479505,0.03764701,0.986135,2.640481,0.01271829,0.0003999591,0.001588402,0.986135,0.1114071,0.0005366096,0.0003984142,0.001582266,0.986135,0.1109768,0.0005345368,0.1664731,0.5440033,0.9775094,23.11223,0.1406856,0.00702383,0.02295258,0.9775094,0.9751508,0.005935806,0.006996698,0.02286392,0.9775094,0.971384,0.005912878,0.01354499,0.04426205,1.023008,-2.013324,0.01144677,0.00057149,0.001867504,1.023008,-0.08494615,0.0004829619,0.0005692825,0.00186029,1.023008,-0.08461802,0.0004810963,3.206291,16.0,0.0,0.0,19.33908,0.1352798,0.6750717,0.0,0.0,0.8159541,0.1347572,0.6724641,0.0,0.0,0.8128023
1,0.0383268,0.1239505,0.9557807,2.560667,0.02646436,0.001771502,0.005729111,0.9557807,0.1183565,0.001223208,0.001763085,0.005701892,0.9557807,0.1177942,0.001217397,0.2255902,0.7200019,0.9675792,20.79134,0.1641228,0.010427,0.03327919,0.9675792,0.960996,0.007585915,0.01037746,0.03312108,0.9675792,0.9564301,0.007549873,0.02096729,0.06691992,1.033507,-2.133264,0.01525418,0.0009691284,0.003093104,1.033507,-0.09860154,0.0007050629,0.0009645239,0.003078408,1.033507,-0.09813307,0.000701713,5.418905,24.0,0.0,0.0,15.30523,0.2504671,1.109303,0.0,0.0,0.7074225,0.2492771,1.104033,0.0,0.0,0.7040614
2,0.006927544,0.02335072,0.9913418,2.650439,0.007509987,0.0003217437,0.001084503,0.9913418,0.1230973,0.0003487947,0.0003201539,0.001079145,0.9913418,0.122489,0.0003470712,0.1455839,0.4560014,0.9792084,21.02948,0.09512143,0.006761517,0.02117858,0.9792084,0.9766957,0.004417831,0.006728107,0.02107393,0.9792084,0.9718695,0.004396001,0.01353117,0.04238296,1.021233,-2.081733,0.00884099,0.0006284432,0.001968439,1.021233,-0.09668425,0.000410612,0.0006253379,0.001958712,1.021233,-0.09620651,0.0004085831,4.529455,20.0,0.0,0.0,22.02271,0.2103666,0.9288824,0.0,0.0,1.022826,0.2093271,0.9242925,0.0,0.0,1.017772
3,0.04663925,0.149158,0.944135,2.37999,0.0273926,0.002525153,0.008075747,0.944135,0.128858,0.001483097,0.002508499,0.008022487,0.944135,0.1280082,0.001473315,0.252734,0.8079992,0.9577936,17.56211,0.1583788,0.01368358,0.04374688,0.9577936,0.9508516,0.008574978,0.01359334,0.04345836,0.9577936,0.9445806,0.008518427,0.02706705,0.08653402,1.044066,-2.140613,0.01696183,0.001465471,0.004685145,1.044066,-0.1158976,0.0009183513,0.001455806,0.004654246,1.044066,-0.1151332,0.0009122948,3.833899,21.0,0.0,0.0,13.95529,0.2075758,1.136987,0.0,0.0,0.7555703,0.2062069,1.129488,0.0,0.0,0.7505873
4,0.003038381,0.01079726,0.9957319,2.508235,0.005897731,0.0001658618,0.0005894103,0.9957319,0.1369217,0.0003219504,0.000164806,0.0005856582,0.9957319,0.1360501,0.0003199009,0.08348577,0.2719994,0.9853827,18.06798,0.06066326,0.004557394,0.01484814,0.9853827,0.9863104,0.003311539,0.004528382,0.01475362,0.9853827,0.9800317,0.003290458,0.008941078,0.02912998,1.014834,-2.022424,0.006496813,0.0004880833,0.001590173,1.014834,-0.1104018,0.0003546536,0.0004849762,0.00158005,1.014834,-0.109699,0.000352396,2.826347,16.0,0.0,0.0,14.16863,0.1542871,0.8734218,0.0,0.0,0.7734493,0.1533049,0.8678618,0.0,0.0,0.7685257
5,0.02792358,0.09961557,0.9622165,2.441017,0.01776698,0.001708857,0.006096238,0.9622165,0.1493845,0.001087297,0.001690225,0.006029767,0.9622165,0.1477557,0.001075442,0.1153424,0.412,0.9754353,15.95812,0.1008964,0.007058683,0.02521343,0.9754353,0.9765995,0.006174624,0.006981719,0.02493851,0.9754353,0.9659511,0.006107299,0.0145641,0.05202293,1.025184,-2.171104,0.01274002,0.0008912883,0.003183681,1.025184,-0.1328664,0.0007796589,0.0008815701,0.003148967,1.025184,-0.1314177,0.0007711579,3.692857,22.0,0.0,0.0,26.77686,0.2259941,1.346348,0.0,0.0,1.63868,0.22353,1.331668,0.0,0.0,1.620813
6,0.03073511,0.1039655,0.9588652,2.32378,0.01913172,0.002301502,0.007785132,0.9588652,0.174009,0.001432619,0.002261468,0.007649709,0.9588652,0.1709821,0.001407698,0.09494795,0.3520018,0.9745296,13.12496,0.09260613,0.00710988,0.02635855,0.9745296,0.9828218,0.00693452,0.006986202,0.02590004,0.9745296,0.9657254,0.006813893,0.01459617,0.05411315,1.026137,-2.180042,0.01423595,0.001092988,0.004052094,1.026137,-0.1632456,0.001066014,0.001073975,0.003981607,1.026137,-0.1604059,0.001047471,3.124698,25.0,0.0,0.0,29.34706,0.2339832,1.872047,0.0,0.0,2.197563,0.229913,1.839482,0.0,0.0,2.159336
7,0.03569527,0.1153662,0.9539465,2.279631,0.01548184,0.003314291,0.0107117,0.9539465,0.2116628,0.001437483,0.003229002,0.01043605,0.9539465,0.2062159,0.001400491,0.08477353,0.2840006,0.97476,10.69117,0.05639164,0.007871185,0.02636934,0.97476,0.9926704,0.00523594,0.00766863,0.02569075,0.97476,0.9671252,0.005101199,0.01662562,0.05569696,1.025893,-2.263851,0.01105968,0.001543682,0.00517144,1.025893,-0.2101976,0.001026886,0.001503957,0.005038359,1.025893,-0.2047884,0.00100046,2.717208,17.0,0.0,0.0,20.56088,0.2522916,1.578443,0.0,0.0,1.90907,0.2457992,1.537823,0.0,0.0,1.859942
8,0.03351152,0.1180148,0.951535,2.204743,0.01672033,0.004277115,0.01506237,0.951535,0.2813939,0.002134036,0.004074614,0.01434924,0.951535,0.2680712,0.002032999,0.06615427,0.2400002,0.971333,7.89888,0.04870306,0.008443346,0.0306315,0.971333,1.008143,0.006216028,0.008043595,0.02918124,0.971333,0.9604125,0.005921728,0.01783355,0.06469798,1.029513,-2.323493,0.01312851,0.002276117,0.008257478,1.029513,-0.29655,0.001675607,0.002168354,0.007866526,1.029513,-0.2825098,0.001596275,2.146379,18.0,0.0,0.0,18.72832,0.2739449,2.297361,0.0,0.0,2.390317,0.2609749,2.188592,0.0,0.0,2.277147
9,0.009353565,0.03205466,0.9840469,1.945713,0.007227048,0.001046492,0.003586327,0.9840469,0.2176894,0.0008085737,0.001006773,0.003450212,0.9840469,0.2094273,0.0007778851,0.01267672,0.05199914,0.9944183,9.212293,0.02465688,0.001418292,0.005817747,0.9944183,1.030686,0.002758651,0.001364462,0.00559694,0.9944183,0.9915674,0.002653949,0.003417418,0.01401806,1.005613,-2.525461,0.00664699,0.0003823462,0.001568363,1.005613,-0.2825526,0.0007436759,0.0003678346,0.001508837,1.005613,-0.2718286,0.0007154504,2.499894,18.0,0.0,0.0,16.20185,0.2796922,2.013869,0.0,0.0,1.812689,0.2690767,1.937434,0.0,0.0,1.74389
